Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),19DA Temp (ºC),App message
0,1000,,,,0,0.021484375,-1.01171875,-2.37582E-05,0.000417811,15.39600086,0.000937392,0,0,0.014432089,0,0,0,0,0.07421875,,
0,1000,,,,0,0.017578125,-1.017578125,-3.24209E-05,0.000136758,15.39550209,0.010045716,0,0,0.154658837,0,0,0,0,0.07421875,,
0.02534,1000,,,,0,0.021484375,-1.005859375,-0.000141396,-7.32246E-05,15.39550114,0.005162903,0,0,0.079485482,0,0,0,0,0.072265625,,
0.048765,1000,,,,0,0.017578125,-1.005859375,-0.000175909,-0.000264901,15.39550114,0.0039422,0,0,0.060692145,0,0,0,0,0.072265625,,
0.07396,1000,,,,0,0.01953125,-1.00390625,-0.000257889,-2.04598E-05,15.39500237,0.010045716,0,0,0.154653817,0,0,0,0,0.072265625,,
0.09706,1000,,,,0,0.021484375,-1.009765625,-0.000274148,0.000223981,15.39800167,0.002721497,0,0,0.041905614,0,0,0,0,0.072265625,,
0.118785,1000,,,,0,0.0234375,-1.017578125,2.25087E-06,0.000141065,15.39428711,0.0039422,0,0,0.06068736,0,0,0,0,0.072265625,,
0.14071,1000,,,,0,0.015625,-1.005859375,-1.68516E-05,8.39929E-05,15.39600182,-0.001638157,0,0,0.025221072,0,0,0,0,0.072265625,,
0.16494,1000,,,,0,0.021484375,-0.984375,0.000104445,0.000424272,15.39600182,0.000280091,0,0,0,0,0,0,0,0.072265625,,
0.19046,1000,,,,0,0.021484375,-0.994140625,3.98589E-05,0.000738707,15.39750004,-0.004602722,0,0,0.070870409,0,0,0,0,0.072265625,,
0.21568,1000,,,,0,0.017578125,-1.00390625,-0.000161659,2.26135E-05,15.39750099,0.011266419,0,0,0.173474695,0,0,0,0,0.072265625,,
0.23776,1000,,,,0,0.01953125,-1.005859375,-0.000177024,0.000124913,15.39500237,0.001500794,0,0,0.023104724,0,0,0,0,0.072265625,,
0.262335,1000,,,,0,0.021484375,-1.0078125,-0.000204667,0.000596565,15.39550018,0.002721497,0,0,0.041898807,0,0,0,0,0.072265625,,
0.2886,1000,,,,0,0.021484375,-0.9921875,-3.87643E-05,-0.000163678,15.39500237,-0.002161316,0,0,0.033273458,0,0,0,0,0.072265625,,
0.31657,1000,,,,0,0.017578125,-0.98046875,-1.17752E-05,-2.04598E-05,15.3955574,0.000686992,0,0,0.010576625,0,0,0,0,0.072265625,,
0.3413,1000,,,,0,0.01953125,-1.01171875,-0.000104915,0.000357508,15.39422417,0.0039422,0,0,0.060687111,0,0,0,0,0.072265625,,
0.366765,1000,,,,0,0.01953125,-1.00390625,-0.000204955,0.000317665,15.39550209,0.001500794,0,0,0.023105474,0,0,0,0,0.072265625,,
0.38884,1000,,,,0,0.021484375,-1.005859375,-0.00025759,0.000202444,15.39650154,0.005162903,0,0,0.079490647,0,0,0,0,0.072265625,,
0.415725,1000,,,,0,0.021484375,-1,-0.000241651,0.000102299,15.39600182,-0.008264831,0,0,0.127245356,0,0,0,0,0.072265625,,
0.4401,1000,,,,0,0.01953125,-1,-4.55719E-05,-0.000663328,15.39485836,0.002547111,0,0,0.039212405,0,0,0,0,0.072265625,,
0.46567,1000,,,,0,0.01953125,-1.00390625,-7.02657E-05,0.000883002,15.3937149,0.010917646,0,0,0.168063136,0,0,0,0,0.072265625,24,
0.491445,1000,,,,0,0.021484375,-0.9921875,-0.000200911,0.000774242,15.39600182,-0.010008694,0,0,0.154093865,0,0,0,0,0.072265625,,
0.51559,1000,,,,0,0.01953125,-1.01953125,-0.000128795,0.000956227,15.39700127,0.000280091,0,0,0,0,0,0,0,0.072265625,,
0.53813,1000,,,,0,0.017578125,-1.0078125,-0.00013631,0.000533032,15.39650059,0.002721497,0,0,0.041901529,0,0,0,0,0.072265625,,
0.56667,1000,,,,0,0.01953125,-0.9921875,-0.000154631,-6.24563E-05,15.39600182,-0.005823425,0,0,0.089657461,0,0,0,0,0.072265625,,
0.589155,1000,,,,0,0.01953125,-1.005859375,-6.67169E-05,4.63038E-05,15.39519978,-0.004846862,0,0,0.074618416,0,0,0,0,0.072265625,,
0.615045,1000,,,,0,0.01953125,-1.0078125,-9.5673E-05,0.000200291,15.39657307,-0.003033246,0,0,0.046701591,0,0,0,0,0.072265625,,
0.636965,1000,,,,0,0.0234375,-1.0078125,-8.08713E-05,0,15.39466858,0.007197409,0,0,0.110801719,0,0,0,0,0.072265625,,
0.6641,1000,,,,0,0.015625,-1.00390625,-0.000148614,0.00045873,15.39543056,0.002547111,0,0,0.039213863,0,0,0,0,0.072265625,,
0.68813,1000,,,,0,0.01953125,-1.005859375,-0.000218807,0.001176977,15.39466667,0.009367547,0,0,0.144210265,0,0,0,0,0.072265625,,
0.71359,1000,,,,0,0.021484375,-1.0078125,-2.74316E-05,0.001047758,15.39700127,-0.002161316,0,0,0.033277779,0,0,0,0,0.072265625,,
0.73875,1000,,,,0,0.021484375,-1.017578125,8.10366E-05,0.000880849,15.39600086,0.010452617,0,0,0.160928497,0,0,0,0,0.072265625,,
0.766505,1000,,,,0,0.01953125,-1.021484375,-7.9851E-05,0.000643946,15.39600182,0.010045716,0,0,0.154663857,0,0,0,0,0.072265625,,
0.78907,1000,,,,0,0.01953125,-0.994140625,-0.000256863,0.000814085,15.39777756,-0.002568216,0,0,0.039544819,0,0,0,0,0.072265625,,
0.818075,1000,,,,0,0.021484375,-1,-9.69743E-05,0.000842083,15.3937149,0.0039422,0,0,0.060685104,0,0,0,0,0.072265625,,
0.84095,1000,,,,0,0.01953125,-1.01171875,-0.000159691,0.001081139,15.39280128,0.004918763,0,0,0.075713535,0,0,0,0,0.072265625,,
0.86517,1000,,,,0,0.021484375,-0.984375,-0.000177386,0.000505034,15.39714336,-0.003033246,0,0,0.046703321,0,0,0,0,0.072265625,,
0.887025,1000,,,,0,0.01953125,-0.9921875,-2.07973E-05,3.8766E-05,15.39600182,0.005162903,0,0,0.079488067,0,0,0,0,0.072265625,,
0.912065,1000,,,,0,0.017578125,-1.00390625,-0.000236505,0.000394121,15.39650154,-0.01558905,0,0,0.240016831,0,0,0,0,0.072265625,,
0.936565,1000,,,,0,0.01953125,-0.994140625,-0.000273357,0.000277823,15.39700222,0.002721497,0,0,0.041902894,0,0,0,0,0.072265625,,
0.962345,1000,,,,0,0.0234375,-1.0078125,-0.000158282,-0.000195983,15.39600182,-0.000940612,0,0,0.014481671,0,0,0,0,0.072265625,,
0.99065,1000,,,,0,0.01953125,-1.00390625,-7.22371E-06,-0.000526571,15.39511108,-0.001483147,0,0,0.022833212,0,0,0,0,0.072265625,,
1.017675,1000,,,,0,0.021484375,-0.998046875,-0.000117779,0.000383352,15.39466858,-0.003653287,0,0,0.056241141,0,0,0,0,0.072265625,,
1.040205,1000,,,,0,0.021484375,-0.994140625,-0.000130577,0.000419238,15.3955574,-0.003653287,0,0,0.056244388,0,0,0,0,0.072265625,,
1.066595,1000,,,,0,0.021484375,-0.98046875,-1.58457E-05,0.000437194,15.39900112,0.005162903,0,0,0.079503552,0,0,0,0,0.072265625,,
1.08911,1000,,,,0,0.021484375,-1,-0.000185637,0.000974883,15.39350033,-0.002161316,0,0,0.033270212,0,0,0,0,0.072265625,,
1.11532,1000,,,,0,0.021484375,-1.001953125,-0.000142647,0.000768858,15.39550018,0.0039422,0,0,0.060692142,0,0,0,0,0.072265625,,
1.13723,1000,,,,0,0.01953125,-0.98828125,3.09931E-05,0.000180908,15.3985014,0.006383606,0,0,0.098297971,0,0,0,0,0.072265625,,
1.16421,1000,,,,0,0.017578125,-1.001953125,-8.39339E-05,0.000135681,15.39550114,0.006383606,0,0,0.098278818,0,0,0,0,0.072265625,,
1.186325,1000,,,,0,0.021484375,-0.9921875,-0.00015749,0.000177677,15.39466858,0.005027269,0,0,0.077393141,0,0,0,0,0.072265625,,
1.21184,1000,,,,0,0.01953125,-0.994140625,2.33499E-05,-0.000142142,15.39600182,-0.000243068,0,0,0,0,0,0,0,0.07421875,,
1.23663,1000,,,,0,0.021484375,-0.98828125,-9.8182E-05,0.001389113,15.3937788,0.002857131,0,0,0.043982043,0,0,0,0,0.07421875,,
1.263385,1000,,,,0,0.017578125,-0.99609375,-0.000196017,0.001227588,15.39500237,0.001500794,0,0,0.023104724,0,0,0,0,0.07421875,,
1.286335,1000,,,,0,0.021484375,-1.00390625,-0.000194883,0.00132558,15.39422226,0.002857131,0,0,0.04398331,0,0,0,0,0.07421875,,
1.316395,1000,,,,0,0.021484375,-1.013671875,-0.000199861,0.001423572,15.39771557,0.00533729,0,0,0.082182067,0,0,0,0,0.072265625,,
1.33944,1000,,,,0,0.017578125,-1.00390625,-0.000180431,0.001249125,15.39644527,0.005027269,0,0,0.077402073,0,0,0,0,0.072265625,,
1.365675,1000,,,,0,0.025390625,-0.984375,-2.07703E-06,0.001385883,15.3973341,0.002314596,0,0,0.035638601,0,0,0,0,0.072265625,,
1.38846,1000,,,,0,0.021484375,-1.021484375,9.76767E-06,0.000883002,15.39450073,-0.004602722,0,0,0.070856604,0,0,0,0,0.072265625,24.0625,
1.415295,1000,,,,0,0.013671875,-1.001953125,-0.00012785,-0.000342433,15.39600086,0.0039422,0,0,0.060694115,0,0,0,0,0.072265625,,
1.43845,1000,,,,0,0.0234375,-1.0078125,-0.000110899,-0.000211059,15.39688969,-0.000398078,0,0,0,0,0,0,0,0.072265625,,
1.46232,1000,,,,0,0.01953125,-1.001953125,1.77757E-05,5.16879E-05,15.39600182,0.002721497,0,0,0.041900172,0,0,0,0,0.072265625,,
1.489385,1000,,,,0,0.017578125,-1.00390625,-5.07721E-05,-0.000289668,15.39500046,-0.003382019,0,0,0.052066179,0,0,0,0,0.072265625,,
1.515935,1000,,,,0,0.01953125,-0.9921875,-0.00023595,-0.000768131,15.39644527,0.013707825,0,0,0.211051778,0,0,0,0,0.072265625,,
1.5385,1000,,,,0,0.01953125,-0.98046875,-0.00011734,-4.30733E-05,15.39600086,0.001772061,0,0,0.027282654,0,0,0,0,0.072265625,,
1.565205,1000,,,,0,0.021484375,-1.00390625,-2.45903E-05,0.000351047,15.39657307,0.013707825,0,0,0.21105353,0,0,0,0,0.072265625,,
1.588655,1000,,,,0,0.0234375,-1.0078125,-0.000145642,0.000397701,15.39644527,0.006112339,0,0,0.094108294,0,0,0,0,0.072265625,,
1.61507,1000,,,,0,0.01953125,-1.0078125,-0.000204097,0.000491035,15.39650154,-0.002161316,0,0,0.033276698,0,0,0,0,0.072265625,,
1.637605,1000,,,,0,0.017578125,-0.978515625,1.80304E-05,0.000515453,15.39377975,0.0039422,0,0,0.060685359,0,0,0,0,0.072265625,,
1.663935,1000,,,,0,0.0234375,-0.998046875,7.0986E-05,0.000527648,15.39657307,0.008127468,0,0,0.125135152,0,0,0,0,0.07421875,,
1.68624,1000,,,,0,0.01953125,-1.017578125,-7.90143E-05,0.000753782,15.39689159,0.009367547,0,0,0.144231107,0,0,0,0,0.07421875,,
1.71264,1000,,,,0,0.017578125,-1.00390625,-0.00024951,0.000385506,15.39771557,0.002547111,0,0,0.039219683,0,0,0,0,0.072265625,,
1.73657,1000,,,,0,0.01953125,-1.005859375,4.24649E-05,0.000174447,15.3955574,0.007197409,0,0,0.110808116,0,0,0,0,0.072265625,,
1.76189,1000,,,,0,0.01953125,-0.994140625,1.38525E-05,0.000340279,15.39400101,0.0039422,0,0,0.060686232,0,0,0,0,0.072265625,,
1.78629,1000,,,,0,0.021484375,-1.005859375,-0.000100062,-0.000220751,15.39650249,0.002721497,0,0,0.041901534,0,0,0,0,0.072265625,,
1.81688,1000,,,,0,0.01953125,-1.005859375,-0.000172215,-0.000624563,15.39700222,-0.004602722,0,0,0.070868118,0,0,0,0,0.072265625,,
1.839685,1000,,,,0,0.01953125,-1.009765625,-0.000184195,0.000486001,15.3938179,-0.000496721,0,0,0,0,0,0,0,0.072265625,,
1.86536,1000,,,,0,0.01953125,-1.00390625,-0.000217456,0.000161525,15.39428806,0.001152022,0,0,0.017734557,0,0,0,0,0.072265625,,
1.887675,1000,,,,0,0.01953125,-0.9921875,-0.000237964,-0.000331664,15.39600086,0.0039422,0,0,0.060694115,0,0,0,0,0.072265625,,
1.912355,1000,,,,0,0.0234375,-1.0078125,-0.000140257,4.95343E-05,15.39428616,0.008127468,0,0,0.125116565,0,0,0,0,0.072265625,,
1.93648,1000,,,,0,0.021484375,-1.005859375,-7.37424E-05,0.000139988,15.39900112,-0.005823425,0,0,0.089674927,0,0,0,0,0.072265625,,
1.967355,1000,,,,0,0.01953125,-1.00390625,1.36285E-06,0.000750552,15.39800167,0.005162903,0,0,0.079498392,0,0,0,0,0.072265625,,
1.990565,1000,,,,0,0.021484375,-1,1.13811E-05,0.00056714,15.39600086,0.0039422,0,0,0.060694115,0,0,0,0,0.072265625,,
2.015165,1000,,,,0,0.01953125,-1.005859375,-7.84024E-05,0.000577182,15.39550209,0.012487122,0,0,0.192245512,0,0,0,0,0.072265625,,
2.037625,1000,,,,0,0.01953125,-0.9921875,-4.00115E-05,0.001014376,15.39450169,-0.000940612,0,0,0.01448026,0,0,0,0,0.072265625,,
2.066845,1000,,,,0,0.0234375,-1.013671875,-7.91835E-06,0.000871157,15.39550114,0.007604309,0,0,0.117072155,0,0,0,0,0.072265625,,
2.09025,1000,,,,0,0.021484375,-1.021484375,-5.65286E-05,0.000727938,15.3955574,0.013707825,0,0,0.211039608,0,0,0,0,0.072265625,,
2.118095,1000,,,,0,0.01953125,-1.00390625,-0.000302595,-2.47671E-05,15.39600086,0.002721497,0,0,0.041900169,0,0,0,0,0.072265625,,
2.139775,1000,,,,0,0.021484375,-1.009765625,-0.000148783,-0.000269208,15.39644527,-0.004738356,0,0,0.072953837,0,0,0,0,0.072265625,,
2.167,1000,,,,0,0.01953125,-0.984375,-1.52074E-05,0.000911,15.39600182,0.001500794,0,0,0.023106224,0,0,0,0,0.072265625,,
2.189735,1000,,,,0,0.021484375,-0.994140625,-6.55668E-05,0.00049642,15.39400101,-0.002161316,0,0,0.033271294,0,0,0,0,0.072265625,,
2.217295,1003,,,,0,0.01953125,-0.990234375,-0.000154247,8.18392E-05,15.39550209,-0.000940612,0,0,0.014481201,0,0,0,0,0.072265625,,
2.239835,1003,,,,0,0.0234375,-0.98828125,-0.000178318,-0.000148603,15.39450264,0.011266419,0,0,0.173440914,0,0,0,0,0.072265625,,
2.268075,1003,,,,0,0.01953125,-1,-0.000226591,0.000158294,15.39400101,0.002314596,0,0,0.035630887,0,0,0,0,0.072265625,,
2.29294,1003,,,,0,0.01953125,-0.98828125,-0.00010149,0.000430733,15.39550209,0.002721497,0,0,0.041898812,0,0,0,0,0.072265625,24.0625,
2.31688,1003,,,,0,0.021484375,-1.00390625,-0.000301384,0.000263824,15.39543056,0.009522557,0,0,0.14660387,0,0,0,0,0.072265625,,
2.34068,1003,,,,0,0.0234375,-1.01953125,-0.000137685,0.000381199,15.39700031,-0.004602722,0,0,0.070868109,0,0,0,0,0.072265625,,
2.365905,1003,,,,0,0.01953125,-1.00390625,-2.25293E-05,0.000101222,15.39750099,-0.003382019,0,0,0.052074636,0,0,0,0,0.072265625,,
2.388875,1009,,,,0,0.017578125,-0.9921875,-3.6874E-05,-0.000244441,15.39900112,0.006383606,0,0,0.098301161,0,0,0,0,0.072265625,,
2.415185,1009,,,,0,0.021484375,-0.99609375,-9.64168E-05,0.000230442,15.39550114,-0.005823425,0,0,0.089654545,0,0,0,0,0.072265625,,
2.439215,1009,,,,0,0.01953125,-1.01953125,-0.000247544,0.001100522,15.39511108,0.012622756,0,0,0.194328724,0,0,0,0,0.072265625,,
2.46732,1016,,,,0,0.017578125,-0.9921875,-0.000200164,9.90685E-05,15.39650249,0.006383606,0,0,0.09828521,0,0,0,0,0.072265625,,
2.49092,1016,,,,0,0.021484375,-1.01171875,-0.000167806,-0.00028213,15.3955574,-0.003653287,0,0,0.056244388,0,0,0,0,0.072265625,,
2.516755,1028,,,,0,0.017578125,-1.005859375,-7.93795E-05,-0.000111991,15.39500141,-0.007044128,0,0,0.108444362,0,0,0,0,0.072265625,,
2.5389,1035,,,,0,0.0234375,-1,-1.7103E-05,0.000384429,15.39400101,-0.004602722,0,0,0.070854304,0,0,0,0,0.072265625,,
2.566295,1041,,,,0,0.01953125,-1.005859375,-0.000103199,0.000555645,15.39750195,0.007604309,0,0,0.117087369,0,0,0,0,0.072265625,,
2.59079,1047,,,,0,0.01953125,-1.009765625,3.68609E-05,-3.01513E-05,15.39777946,0.001772061,0,0,0.027285805,0,0,0,0,0.072265625,,
2.615325,1047,,,,0,0.017578125,-0.9921875,-1.06957E-05,0.00047596,15.39550209,0.007604309,0,0,0.117072162,0,0,0,0,0.072265625,,
2.63892,1047,,,,0,0.02734375,-1.009765625,0.000177929,-4.73806E-05,15.39300156,0.192540833,0,0,2.96378134,0,0,0,0,0.072265625,,
2.66608,1047,,,,0,0.02734375,-0.978515625,0.007931895,8.18392E-05,15.3920002,0.251744934,0,0,3.874858081,0,0,0,0,0.072265625,,
2.689015,1047,,,,-0.01171875,0.001953125,-1.001953125,0.011557531,0.00034674,15.39200211,0.186233872,0,0,2.866512145,0,0,0,0,0.076171875,,
2.715335,1047,,,,0,0.03125,-0.982421875,0.015808975,-0.000769935,15.39257145,0.150426575,0,0,2.315451804,0,0,0,0,0.078125,,
2.74247,1047,,,,-0.0234375,0.052734375,-1.04296875,0.022138696,-0.00188661,15.3920002,0.124384911,0,0,1.914532573,0,0,0,0,0.080078125,,
2.76538,1047,,,,-0.01171875,0.0234375,-0.990234375,0.017373697,-0.003510472,15.39333439,0.105938726,0,0,1.630750237,0,0,0,0,0.080078125,,
2.788055,1047,,,,-0.01171875,0.01953125,-1,0.013688899,-0.003314489,15.39450169,0.086950013,0,0,1.338552115,0,0,0,0,0.08203125,,
2.816355,1053,,,,-0.015625,0.029296875,-0.9921875,0.010529103,-0.003547085,15.39428711,0.077881933,0,0,1.198936841,0,0,0,0,0.08203125,,
2.840075,1053,,,,0,0.052734375,-1.01953125,0.008187166,-0.003895978,15.39288998,0.067961299,0,0,1.046120797,0,0,0,0,0.083984375,,
2.866115,1053,,,,-0.0234375,0.0234375,-1.01171875,0.006508693,-0.004501158,15.39550114,0.094274231,0,0,1.451399035,0,0,0,0,0.08203125,,
2.88802,1053,,,,0.0234375,0.013671875,-0.998046875,0.005370443,-0.004094115,15.39466667,0.098343239,0,0,1.513961388,0,0,0,0,0.083984375,,
2.917615,1060,,,,-0.0234375,0.015625,-1,0.007267872,-0.003288645,15.39600086,0.072301575,0,0,1.113155112,0,0,0,0,0.083984375,,
2.94221,1060,,,,0.009765625,0.015625,-0.9921875,0.006531528,-0.004609918,15.39377975,0.059280743,0,0,0.912554701,0,0,0,0,0.0859375,,
2.96685,1066,,,,-0.01171875,0.025390625,-0.998046875,0.005368782,-0.006736661,15.39500237,0.078405091,0,0,1.207046556,0,0,0,0,0.0859375,,
2.98992,1066,,,,0,0.0234375,-1.005859375,0.004778539,-0.008702956,15.39450169,0.119908997,0,0,1.845939255,0,0,0,0,0.0859375,,
3.015895,1072,,,,-0.01171875,0.0234375,-1.005859375,0.007705389,-0.007871642,15.39500237,0.084508606,0,0,1.301010194,0,0,0,0,0.0859375,,
3.038145,1072,,,,-0.01171875,0.02734375,-0.998046875,0.008148081,-0.008064395,15.39288998,0.112449148,0,0,1.73091736,0,0,0,0,0.0859375,,
3.068255,1072,,,,-0.0234375,0.0546875,-1.037109375,0.007795641,-0.008257148,15.39143085,0.1211297,0,0,1.864359403,0,0,0,0,0.0859375,,
3.09182,1072,,,,-0.01171875,0.04296875,-1.0078125,0.007949897,-0.007779034,15.39279938,0.129918763,0,0,1.999813447,0.00027111,0.013556784,28.69323531,0.00388988,0.0859375,,
3.117605,1072,,,,-0.0234375,0.029296875,-0.98828125,0.009013564,-0.010817854,15.3925724,0.109968984,1,0,1.692705543,0.000816509,0.048236894,13.24891657,0.006390866,0.087890625,,
3.13998,1072,,,,-0.01171875,0.009765625,-0.962890625,0.008192077,-0.011361654,15.3920002,0.116246888,596,0,1.789272116,0.511356263,28.57901035,0.022218666,0.006349875,0.087890625,,
3.16586,1072,,,,-0.01171875,0.021484375,-1.0234375,0.007197228,-0.011905454,15.39466763,0.088577614,939,0,1.36362293,0.70794647,51.91658591,0.016816885,0.008730753,0.08984375,,
3.187975,1072,,,,-0.03125,0.04296875,-1.001953125,0.006445144,-0.009032467,15.39485931,0.084857375,1032,0,1.306367357,0.696195492,53.29247465,0.012974038,0.006914186,0.08984375,24.0625,
3.21948,1079,,,,-0.015625,0.029296875,-0.974609375,0.00561901,-0.009257525,15.39400101,0.085322411,1054,0,1.313453279,0.620295417,47.2263024,0.01492438,0.007048233,0.091796875,,
3.24201,1079,,,,0,0.017578125,-1,0.005168891,-0.010619717,15.3937788,0.089662687,1072,0,1.38024757,0.580032432,42.02379666,0.018308833,0.007694067,0.091796875,,
3.266185,1079,,,,-0.037109375,0.0390625,-0.9921875,0.005062403,-0.012276961,15.39400196,0.115026184,1092,0,1.770713309,0.578890034,32.69247662,0.021207761,0.006933342,0.091796875,,
3.288995,1079,,,,0,0.0390625,-1.001953125,0.005215011,-0.013934206,15.39450169,0.132116028,1103,0,2.033860419,0.602621862,29.62946013,0.023122636,0.006851112,0.09375,,
3.317275,1079,,,,-0.0625,0.07421875,-1.015625,0.006725229,-0.014896894,15.39257336,0.111364075,1119,0,1.714179695,0.787895986,45.96344177,0.018907183,0.008690392,0.095703125,,
