Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),19DA Temp (ºC),App message,
0,1000,,,,-0.01171875,0.015625,-1.021484375,-9.11632E-05,-0.006756044,15.46600151,0.012731263,0,0,0.196901726,0,0,0,0,0.087890625,,,
0,1000,,,,-0.015625,0.01953125,-0.99609375,8.97597E-05,-0.007293033,15.46691036,0.001278848,0,0,0.01977982,0,0,0,0,0.087890625,25.125,,
0.064145,1000,,,,0,0.00390625,-0.994140625,-1.7837E-05,-0.006514833,15.46488953,-0.006908494,0,0,0.106839096,0,0,0,0,0.087890625,,,
0.02942,1000,,,,-0.009765625,0.01171875,-1.00390625,-9.7015E-05,-0.007327492,15.46650124,-0.005823425,0,0,0.090068009,0,0,0,0,0.087890625,,,
0.095175,1000,,,,0,0.00390625,-1.0078125,1.24517E-06,-0.007137969,15.46600246,0.005569805,0,0,0.086142611,0,0,0,0,0.087890625,,,
0.125855,1000,,,,0,0.001953125,-0.994140625,1.09129E-05,-0.007240618,15.46727276,0.00838112,0,0,0.129633076,0,0,0,0,0.087890625,,,
0.156525,1000,,,,-0.0078125,0.009765625,-0.998046875,-1.87362E-05,-0.007156625,15.46760082,-0.0038703,0,0,0.059864255,0,0,0,0,0.0859375,,,
0.189705,1000,,,,-0.009765625,0.01171875,-0.9921875,9.5491E-05,-0.007018791,15.46480083,0.001989075,0,0,0.03076065,0,0,0,0,0.0859375,,,
0.222395,1000,,,,0,0.00390625,-1.00390625,-1.62193E-05,-0.006908954,15.46333599,-0.002568216,0,0,0.039713187,0,0,0,0,0.0859375,,,
0.253965,1000,,,,-0.017578125,0.021484375,-1.015625,-1.20751E-05,-0.006717278,15.46473026,0.001278848,0,0,0.019777032,0,0,0,0,0.0859375,,,
0.285265,1000,,,,-0.0078125,0.01171875,-0.990234375,7.11297E-05,-0.006964222,15.46760082,0.001989075,0,0,0.030766219,0,0,0,0,0.0859375,,,
0.31893,1000,,,,-0.009765625,0.015625,-1.00390625,0.000133495,-0.00714443,15.46545696,0.00838112,0,0,0.129617858,0,0,0,0,0.0859375,,,
0.35283,1000,,,,-0.0078125,0.01171875,-1.009765625,0.000161798,-0.007222312,15.46400356,0.002166632,0,0,0.0335048,0,0,0,0,0.0859375,,,
0.38839,1000,,,,-0.01953125,0.025390625,-1.001953125,0.000225454,-0.007415792,15.4663353,0.008825013,0,0,0.136490603,0,0,0,0,0.0859375,,,
0.424685,1000,,,,-0.015625,0.01953125,-1.00390625,0.000173141,-0.007307382,15.46533585,0.008825013,0,0,0.136481783,0,0,0,0,0.0859375,,,
0.47854,1000,,,,-0.017578125,0.021484375,-0.990234375,0.000143832,-0.00753209,15.46400356,0.012080221,0,0,0.186808579,0,0,0,0,0.0859375,,,
0.511875,1000,,,,-0.021484375,0.025390625,-1.005859375,0.000198808,-0.006863189,15.46484375,0.005484141,0,0,0.084811377,0,0,0,0,0.087890625,,,
