Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),19DA Temp (ºC),App message,
0,1000,,,,0,0.0234375,-0.998046875,-0.001520389,-0.009350132,15.46880054,0.004918763,0,0,0.076087357,0,0,0,0,0.072265625,,,
0,1000,,,,0,0.0234375,-1.00390625,-0.001428524,-0.009433048,15.4711113,-0.000398078,0,0,0,0,0,0,0,0.072265625,,,
0.059755,1000,,,,0,0.0234375,-1.015625,-0.001448792,-0.009715178,15.46700096,0.001500794,0,0,0.023212779,0,0,0,0,0.072265625,26.375,,
0.02869,1000,,,,0,0.0234375,-1.001953125,-0.001293064,-0.009542885,15.46711254,-0.003653287,0,0,0.056505799,0,0,0,0,0.072265625,,,
0.08972,1000,,,,0,0.021484375,-1.00390625,-0.001644961,-0.008975395,15.46622372,0.019133172,0,0,0.29591792,0,0,0,0,0.072265625,,,
0.121965,1000,,,,0,0.0234375,-0.994140625,-0.001547963,-0.00903462,15.46981907,-0.002272288,0,0,0.035151888,0,0,0,0,0.072265625,,,
0.158905,1000,,,,0,0.0234375,-0.9921875,-0.001275147,-0.009348328,15.46760082,3.59501E-05,0,0,0,0,0,0,0,0.072265625,,,
0.189825,1000,,,,0,0.021484375,-1.00390625,-0.001518905,-0.009285872,15.47066784,0.000686992,0,0,0.010628226,0,0,0,0,0.072265625,,,
0.222715,1000,,,,0,0.0234375,-0.98828125,-0.001539292,-0.009231681,15.46800137,0.011044473,0,0,0.17083592,0,0,0,0,0.072265625,,,
0.25248,1000,,,,0,0.021484375,-1.013671875,-0.001591771,-0.00907912,15.46836567,0.003054416,0,0,0.047246822,0,0,0,0,0.072265625,,,
0.287545,1000,,,,0,0.021484375,-0.9921875,-0.001623153,-0.009397513,15.46800041,0.0039422,0,0,0.060977952,0,0,0,0,0.072265625,,,
0.318305,1000,,,,0,0.0234375,-0.99609375,-0.001578143,-0.009254294,15.4683342,0.006383606,0,0,0.098743756,0,0,0,0,0.072265625,,,
0.350505,1000,,,,0,0.025390625,-1.00390625,-0.001535965,-0.010223443,15.4708004,-0.001917175,0,0,0.029660231,0,0,0,0,0.072265625,,,
0.381705,1000,,,,0,0.021484375,-1.00390625,-0.0014798,-0.009803478,15.47018337,0.003054416,0,0,0.047252374,0,0,0,0,0.072265625,,,
0.41475,1000,,,,0,0.0234375,-1.001953125,-0.001426442,-0.009340441,15.47127342,0.002166632,0,0,0.033520552,0,0,0,0,0.072265625,,,
0.44883,1000,,,,0,0.025390625,-1,-0.00142272,-0.009755021,15.47054672,0.007493336,0,0,0.115926009,0,0,0,0,0.072265625,,,
0.479565,1000,,,,0,0.0234375,-1.009765625,-0.001465465,-0.009412238,15.46909237,0.000391063,0,0,0,0,0,0,0,0.072265625,,,
0.513325,1000,,,,0,0.021484375,-0.9921875,-0.001522234,-0.009158456,15.47054672,0.006605552,0,0,0.102191503,0,0,0,0,0.072265625,,,
0.543485,1000,,,,0,0.02734375,-0.990234375,-0.001600536,-0.009719485,15.47018337,0.009268905,0,0,0.143391655,0,0,0,0,0.072265625,,,
0.57448,1000,,,,0,0.021484375,-1.0078125,-0.001534544,-0.009412938,15.46960163,0.005895325,0,0,0.09119833,0,0,0,0,0.072265625,,,
0.607635,1000,,,,0,0.0234375,-1.001953125,-0.001540583,-0.00968718,15.46840096,3.59501E-05,0,0,0,0,0,0,0,0.072265625,,,
0.644455,1000,,,,0,0.0234375,-1.00390625,-0.001468235,-0.009364858,15.47000027,0.004756002,0,0,0.07357535,0,0,0,0,0.072265625,,,
0.67781,1000,,,,0,0.0234375,-1.00390625,-0.001601502,-0.00870511,15.4693346,0.002314596,0,0,0.035805253,0,0,0,0,0.072265625,,,
0.710605,1000,,,,0,0.025390625,-0.990234375,-0.001606729,-0.0093609,15.4683342,0.001500794,0,0,0.02321478,0,0,0,0,0.072265625,,,
0.74664,1000,,,,0,0.021484375,-1.013671875,-0.001445439,-0.009483309,15.46945572,0.003054416,0,0,0.047250151,0,0,0,0,0.072265625,,,
0.786275,1000,,,,0,0.0234375,-1,-0.001607334,-0.009850132,15.46733475,0.0039422,0,0,0.060975328,0,0,0,0,0.072265625,,,
0.823385,1000,,,,0,0.021484375,-1.0078125,-0.001616008,-0.009664217,15.46942997,0.008127468,0,0,0.125727294,0,0,0,0,0.072265625,,,
0.862425,1000,,,,0,0.0234375,-1,-0.001538472,-0.009646261,15.47000122,0.002314596,0,0,0.035806796,0,0,0,0,0.072265625,,,
0.90408,1000,,,,0,0.021484375,-1.00390625,-0.001444169,-0.009363404,15.47028637,-0.002335702,0,0,0.036133979,0,0,0,0,0.072265625,,,
0.9371,1000,,,,0,0.0234375,-1.001953125,-0.001613531,-0.009236338,15.47100067,0.002314596,0,0,0.03580911,0,0,0,0,0.072265625,,,
0.967835,1000,,,,0,0.021484375,-1.00390625,-0.001607401,-0.009260755,15.4693346,0.0039422,0,0,0.060983212,0,0,0,0,0.072265625,26.3125,,
0.9986,1000,,,,0,0.0234375,-0.9921875,-0.001636438,-0.009624724,15.46888924,0.000686992,0,0,0.010627004,0,0,0,0,0.072265625,,,
1.03438,1000,,,,0,0.0234375,-1.00390625,-0.001522711,-0.009697949,15.46981907,0.0039422,0,0,0.060985122,0,0,0,0,0.072265625,,,
1.065735,1000,,,,0,0.01953125,-1.0078125,-0.001568252,-0.00942228,15.46966839,0.002314596,0,0,0.035806026,0,0,0,0,0.072265625,,,
1.099285,1000,,,,0,0.0234375,-1.0078125,-0.001553459,-0.009173182,15.46760082,0.002965638,0,0,0.045871298,0,0,0,0,0.072265625,,,
1.14133,1000,,,,0,0.025390625,-1.00390625,-0.001438074,-0.008986163,15.47066784,-0.001754414,0,0,0.02714196,0,0,0,0,0.072265625,,,
1.171435,1000,,,,0,0.021484375,-0.9921875,-0.00161639,-0.009541458,15.46942997,0.002547111,0,0,0.039402348,0,0,0,0,0.072265625,,,
1.20397,1000,,,,0,0.021484375,-1.01171875,-0.001483428,-0.009141577,15.46920013,0.008825013,0,0,0.136515885,0,0,0,0,0.072265625,,,
1.23582,1000,,,,0,0.025390625,-0.990234375,-0.001476764,-0.009192565,15.46981907,0.006605552,0,0,0.102186696,0,0,0,0,0.072265625,,,
1.27098,1000,,,,0,0.021484375,-1.013671875,-0.001596041,-0.009077694,15.46909142,0.001278848,0,0,0.019782609,0,0,0,0,0.072265625,,,
1.30181,1000,,,,0,0.0234375,-0.990234375,-0.00169591,-0.00933686,15.46800232,-0.000940612,0,0,0.014549395,0,0,0,0,0.072265625,,,
1.332345,1000,,,,0,0.025390625,-1.017578125,-0.001603506,-0.009871319,15.47000122,0.002965638,0,0,0.045878417,0,0,0,0,0.072265625,,,
1.366015,1000,,,,0,0.0234375,-0.9921875,-0.001521032,-0.009799171,15.47080231,0.002965638,0,0,0.045880792,0,0,0,0,0.072265625,,,
1.397555,1003,,,,0,0.021484375,-1.0078125,-0.00141321,-0.009148764,15.47033405,0.008825013,0,0,0.136525892,0,0,0,0,0.072265625,,,
1.43237,1016,,,,0,0.0234375,-1.005859375,-0.001415343,-0.009440586,15.47200203,0.005895325,0,0,0.091212481,0,0,0,0,0.072265625,,,
1.470725,1041,,,,0,0.021484375,-1.0078125,-0.001657642,-0.009227023,15.46800232,-0.000126811,0,0,0,0,0,0,0,0.072265625,,,
1.506765,1053,,,,0,0.025390625,-0.99609375,-0.00158322,-0.00946608,15.46708012,-0.002818617,0,0,0.043595774,0,0,0,0,0.072265625,,,
1.53834,1053,,,,0,0.0234375,-1,-0.001471761,-0.009247106,15.47015476,-0.00356982,0,0,0.055225666,0,0,0,0,0.072265625,,,
1.569655,1053,,,,0,0.025390625,-1,-0.001350183,-0.009829322,15.46920013,0.005895325,0,0,0.091195963,0,0,0,0,0.072265625,,,
1.60266,1053,,,,0,0.01953125,-0.99609375,-0.001340845,-0.009450277,15.45854473,0.610742637,0,0,9.441192374,0,0,0,0,0.072265625,,,
1.638715,1053,,,,0,0.025390625,-0.9453125,-0.001033446,-0.009540004,15.45309162,0.715501138,0,0,11.05670464,0,0,0,0,0.07421875,,,
1.66884,1053,,,,0,0.02734375,-0.98828125,0.031774134,-0.007034943,15.45733356,0.467809388,0,0,7.231085748,0,0,0,0,0.08203125,,,
1.69875,1053,,,,-0.05078125,0.08984375,-1.0546875,0.05540667,-0.005026652,15.46120167,0.378453919,0,0,5.851352361,0,0,0,0,0.08984375,,,
1.731685,1053,,,,-0.009765625,-0.017578125,-0.978515625,0.042279938,-0.001083293,15.46800041,0.216344544,0,0,3.346417493,0,0,0,0,0.095703125,,,
1.767615,1053,,,,-0.04296875,0.02734375,-1,0.024927454,0.000266327,15.46582031,0.165518903,0,0,2.559885616,0,0,0,0,0.1015625,,,
1.79903,1053,,,,0,0.017578125,-1.01171875,0.014829565,0.001111291,15.4663353,0.147985169,0,0,2.28878824,0,0,0,0,0.103515625,,,
1.83161,1053,,,,-0.009765625,0.025390625,-0.998046875,0.010410974,0.002357185,15.46450233,0.132116028,0,0,2.043108626,0,0,0,0,0.10546875,,,
