Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),19DA Temp (ºC),App message,
12.89851,1000,,,,-0.0234375,0.02734375,-1.0078125,-0.009826093,0.00603349,16.26228714,-0.000243068,0,0,0,0,0,0,0,0.095703125,,,
12.921645,1000,,,,-0.01953125,0.0234375,-1.009765625,-0.009745338,0.006014107,16.26311302,-0.024269606,0,0,0.394699344,0,0,0,0,0.09375,,,
12.951885,1035,,,,-0.015625,0.017578125,-1.01953125,-0.009667851,0.005709363,16.26300049,-0.024133972,0,0,0.392490795,0,0,0,0,0.09375,,,
13.00083,1060,,,,-0.009765625,0.013671875,-0.990234375,-0.009646119,0.006155172,16.26250076,-0.014368347,0,0,0.233665251,0,0,0,0,0.09375,,,
13.05147,1079,,,,0,0.001953125,-1.021484375,-0.009652909,0.006246702,16.26571465,-0.025354675,0,0,0.412411908,0,0,0,0,0.09375,,,
13.82027,1085,,,,-0.0859375,-0.048828125,-0.982421875,-0.008532103,-0.005978571,16.26050186,0.060094544,1379,0,0.977167441,1.231704611,126.0484702,0.0048539,0.006118267,0.142578125,,,
13.847805,1085,,,,-0.0859375,0.017578125,-0.984375,-0.007931784,-0.008758951,16.26228523,0.058350683,1379,0,0.948915455,1.145669129,120.7345842,0.007645271,0.009230487,0.146484375,,,
13.87265,1085,,,,-0.009765625,0.01171875,-1.033203125,-0.006830162,-0.005215097,16.26177788,0.064706088,1380,0,1.052236032,0.987171508,93.81654664,0.005282869,0.004956205,0.146484375,,,
13.89759,1085,,,,-0.0234375,0.052734375,-0.994140625,-0.008475185,-0.002849297,16.26399994,0.058873841,1380,0,0.957524141,1.224668822,127.8995243,0.002326586,0.002975693,0.146484375,,,
13.925105,1085,,,,0,0.0859375,-1.046875,-0.008791761,-0.006807732,16.26250076,0.063756653,1380,0,1.036842621,1.270537359,122.5390752,0.005358152,0.006565829,0.146484375,,,
